"S.No","File Code","Asset family linked","Components","Services linked"
"325","ADAP-AMAM","wl_ADAP-AMAM","0","Wireline"
"326","ADAP-AMBM","wl_ADAP-AMBM","0","Wireline"
"327","ADAP-AMCM","wl_ADAP-AMCM","0","Wireline"
"328","ADAP-CFNM","wl_ADAP-CFNM","0","Wireline"
"329","ADAP-GFDM","wl_ADAP-GFDM","0","Wireline"
"330","ADAP-GT-04","wl_ADAP-GT-04","0","Wireline"
"331","ADAP-KFAF","wl_ADAP-KFAF","0","Wireline"
"332","ADAP-MEGA-MAX","wl_ADAP-MEGA-MAX","0","Wireline"
"333","ADAP-NFCM","wl_ADAP-NFCM","0","Wireline"
"334","ADAP-NFNF","wl_ADAP-NFNF","0","Wireline"
"335","ADAP-NMCM","wl_ADAP-NMCM","0","Wireline"
"336","ADAP-PEH-NKB","wl_ADAP-PEH-NKB","0","Wireline"
"337","ADAP-SPA-M","wl_ADAP-SPA-M","0","Wireline"
"338","ADAP-SPA-S","wl_ADAP-SPA-S","0","Wireline"
"339","ADAP-SPAT-AA","wl_ADAP-SPAT-AA","0","Wireline"
"340","ADAPTERS","wl_ADAPTERS","0","Wireline"
"341","ADC-B","wl_ADC-B","0","Wireline"
"342","ADC-C","wl_ADC-C","0","Wireline"
"343","ADC-CX","wl_ADC-CX","0","Wireline"
"344","ADCR","CTDH - ADCR DC Module","23","OMT Default|Sustaining"
"345","ADDC-LA","ADDC-LA QA Testing","0","Shop|All"
"346","ADP-B","wl_ADP-B","0","Wireline"
"347","ADP-C","wl_ADP-C","0","Wireline"
"348","ADP-CAB","wl_ADP-CAB","0","Wireline"
"349","ADP-CB","wl_ADP-CB","0","Wireline"
"350","ADS-B","wl_ADS-B","0","Wireline"
"351","ADS-C","wl_ADS-C","0","Wireline"
"352","ADSK-A","wl_ADSK-A","0","Wireline"
"353","ADT-B","wl_ADT-B","0","Wireline"
"354","ADT-C","wl_ADT-C","0","Wireline"
"355","ADT-CB","wl_ADT-CB","0","Wireline"
"356","AE20HS-SII","wl_AE20HS-SII","0","Wireline"
"357","AE28HS-SFM","wl_AE28HS-SFM","0","Wireline"
"358","AE28HS-SMG","wl_AE28HS-SMG","0","Wireline"
